country,year,palma,ef,fossil_fuel_share,gdp_per_capita,urban_pct,trade_openness,renewable_energy,co2_per_capita,oil_rents,energy_intensity,fdi_inflows,gini_wid
Libya,2019,4.717717717717718,2.84,0.0,9963.194890844828,87.8220115209342,78.99396918501384,3.0,109.30661845427717,32.7515623093831,7.02,,0.5696
Libya,2020,4.718718718718718,2.44,0.0,6650.338105853479,87.8278267096263,50.975793437331895,3.2,53.46244376641697,9.24399152945122,4.44,,0.5697
Morocco,2005,5.177228786251343,1.19,84.95150000502966,2242.98828125,55.4397798676399,61.493827686323456,20.0,145.78157203351176,0.00402070243000557,3.51,2.4263546764783697,0.5811000000000001
Morocco,2006,5.177228786251343,1.35,85.51828760237092,2438.12646484375,55.9627589629824,64.67219777871544,18.2,145.66968709625257,0.0062368292429596,3.31,3.2428349773945557,0.5811000000000001
Morocco,2007,5.177228786251343,1.13,85.98582295620038,2755.5859375,56.5303841299064,71.34964677966575,16.6,148.5547749470908,0.00648886456293074,3.33,3.249993323154289,0.5811000000000001
Morocco,2008,5.177228786251343,1.23,86.97609471414842,3183.20043945313,57.1254169272616,77.83447164256016,14.4,147.04833554103777,0.0061644205483407,3.27,2.4221350885278525,0.5811000000000001
Morocco,2009,5.177228786251343,1.35,86.96760323108384,3119.58862304688,57.7306189138977,62.370956015226945,14.2,135.3203828682646,0.00325837372650423,3.16,1.9478274433084795,0.5811000000000001
Morocco,2010,5.177228786251343,1.34,87.09740193444219,3067.9853515625,58.3287516486646,69.54197961014401,13.9,136.66909668685705,0.00546877446444964,3.21,1.2299824583834975,0.5811000000000001
Morocco,2011,5.177228786251343,1.36,88.62996278522925,3301.98876953125,58.902576690412,76.8258714906247,11.8,121.99275988011328,0.00726865921109118,3.29,2.2904684049663904,0.5811000000000001
Morocco,2012,5.177228786251343,1.28,89.09182771395893,3164.17724609375,59.4348555979895,78.22210189560718,10.9,111.81600584283026,0.00528452503464482,3.24,2.6575871264150654,0.5811000000000001
Morocco,2013,5.177228786251343,1.4,88.31820404155137,3379.7431640625,59.9083499302469,73.8577565315318,11.6,106.19486130553236,0.00535817874110864,3.11,2.9038626404404004,0.5811000000000001
Morocco,2014,5.177228786251343,1.36,88.36457319186327,3435.40698242188,60.3030486171654,71.89356675393978,11.1,90.69412514470599,0.00272007561344937,3.07,2.9592543548448864,0.5811000000000001
Morocco,2015,5.177228786251343,1.41,72.8609624298786,3146.24780273438,60.6417124737154,67.28867592538485,11.2,49.4748275504999,0.00142730898853635,3.02,2.9461110839015405,0.5811000000000001
Morocco,2016,5.177228786251343,1.25,0.0,3140.85546875,60.9657656537179,71.12266038168643,11.1,48.80204874215634,0.00113281093648473,3.01,1.9300054025105589,0.5811000000000001
Morocco,2017,5.177228786251343,1.37,0.0,3296.52661132813,61.2761057031842,74.17335787865731,10.4,34.24108901933146,0.00131078372177982,3.0,2.260921961205382,0.5811000000000001
Morocco,2018,5.177228786251343,1.46,0.0,3501.69799804688,61.5695822753314,77.25488752439892,10.9,34.449317957117586,0.00175486944296997,2.94,2.7833793684016364,0.5811000000000001
Morocco,2019,5.177228786251343,1.39,0.0,3508.09765625,61.8430450233765,75.99811587984217,10.7,25.468902090790014,0.00137237053657597,3.08,1.3347978956741524,0.5811000000000001
Morocco,2020,5.177228786251343,1.2,0.0,3268.0302734375,62.0933436005366,68.84380339043642,11.1,14.548211098479937,0.000839572708870582,3.14,1.169073345875584,0.5811000000000001
Oman,2005,10.362799263351748,4.66,99.92129283693683,14434.857792464712,71.8577803438712,86.76130204213179,0.0,1189.0706501850975,42.841561539357,4.59,4.332571562509139,0.676
